subset,protocol,method,seed,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,standard,coord_deeponet,0,acc,v,0.635690587759018,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,acc,asr,0.9953678250312805,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,acc,olr,0.8534625172615051,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,ramse,surface_temperature,13.206903457641602,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,ramse,temperature,11.187759304046631,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,ramse,specific_humidity_dex,0.560432830452919,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,ramse,cloud_fraction,0.10765398591756821,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,ramse,u,13.38787908554077,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,ramse,v,6.126101446151734,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,ramse,asr,32.128475189208984,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,ramse,olr,20.944971084594727,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,0,relative_rmse,surface_temperature,1.0960519313812256,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
