subset,protocol,method,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,standard,coord_mlp,acc,v,0.626079899072647,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,acc,asr,0.9792116284370422,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,acc,olr,0.6921651363372803,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,ramse,surface_temperature,18.197097778320312,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,ramse,temperature,13.495436668395996,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,ramse,specific_humidity_dex,0.7048453539609909,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,ramse,cloud_fraction,0.12889573499560356,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,ramse,u,14.849170827865601,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,ramse,v,5.992106413841247,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,ramse,asr,81.76162719726562,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,ramse,olr,37.80351638793945,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_rmse,surface_temperature,1.350223422050476,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_rmse,temperature,1.027890920639038,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_rmse,specific_humidity_dex,1.076700210571289,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_rmse,cloud_fraction,0.7231675982475281,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_rmse,u,0.9496015906333923,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_rmse,v,0.8582485318183899,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_rmse,asr,2.094189167022705,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_rmse,olr,1.4310157299041748,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,surface_temperature,0.9912832975387573,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,temperature,4.219465255737305,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,specific_humidity_dex,1.1056931018829346,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,cloud_fraction,1.2853559255599976,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,u,3.459827423095703,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,v,1.1897345781326294,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,asr,0.9869809746742249,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,olr,0.9501544833183289,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,gplfr,rmse,surface_temperature,9.826775550842285,results/models/multi-partial/gplfr/metrics_standard.json,results/models/multi-partial/gplfr/predictions.npz,results/models/multi-partial/gplfr/config.json
multi-partial,standard,gplfr,rmse,temperature,8.194123840332031,results/models/multi-partial/gplfr/metrics_standard.json,results/models/multi-partial/gplfr/predictions.npz,results/models/multi-partial/gplfr/config.json
multi-partial,standard,gplfr,rmse,specific_humidity_dex,0.4293355464935303,results/models/multi-partial/gplfr/metrics_standard.json,results/models/multi-partial/gplfr/predictions.npz,results/models/multi-partial/gplfr/config.json
multi-partial,standard,gplfr,rmse,cloud_fraction,0.07736995667219163,results/models/multi-partial/gplfr/metrics_standard.json,results/models/multi-partial/gplfr/predictions.npz,results/models/multi-partial/gplfr/config.json
